ID,MemoryType,Valence,Avg_Confidence
45,OO,Negative,1.8421052631578947
45,OO,Neutral,1.9285714285714286
46,NN,Neutral,1
46,ON,Negative,1.3823529411764706
46,ON,Neutral,1.3555555555555556
46,OO,Negative,1.3846153846153846
46,OO,Neutral,1.8780487804878048
47,ON,Negative,1.5714285714285716
47,ON,Neutral,1.7826086956521738
47,OO,Negative,1.8974358974358974
47,OO,Neutral,2.125
48,ON,Negative,1.6285714285714286
48,ON,Neutral,1.288888888888889
48,OO,Negative,1.5128205128205128
48,OO,Neutral,1.3170731707317074
50,ON,Negative,2.2857142857142856
50,ON,Neutral,2.2444444444444445
50,OO,Negative,1.875
50,OO,Neutral,2.05
51,ON,Negative,1.4166666666666667
51,ON,Neutral,1.5454545454545454
51,OO,Negative,1.325
51,OO,Neutral,1.775
52,ON,Negative,1.857142857142857
52,ON,Neutral,1.8444444444444443
52,OO,Negative,2.1
52,OO,Neutral,2.025
53,ON,Negative,1.6176470588235294
53,ON,Neutral,1.7391304347826086
53,OO,Negative,1.868421052631579
53,OO,Neutral,2
55,ON,Negative,1.4285714285714286
55,ON,Neutral,1.4444444444444444
55,OO,Negative,1.631578947368421
55,OO,Neutral,1.7380952380952381
56,ON,Negative,1.411764705882353
56,ON,Neutral,1.565217391304348
56,OO,Negative,1.6052631578947367
56,OO,Neutral,1.8809523809523807
57,ON,Negative,1.542857142857143
57,ON,Neutral,1.511111111111111
57,OO,Negative,1.8974358974358974
57,OO,Neutral,1.8048780487804879
59,ON,Negative,1.7777777777777777
59,ON,Neutral,1.772727272727273
59,OO,Negative,2
59,OO,Neutral,1.975609756097561
60,ON,Negative,2.1714285714285713
60,ON,Neutral,1.911111111111111
60,OO,Negative,2.3333333333333335
60,OO,Neutral,2.073170731707317
61,ON,Negative,1.5555555555555556
61,ON,Neutral,1.7954545454545454
61,OO,Negative,1.7
61,OO,Neutral,1.925
62,ON,Negative,1.8285714285714285
62,ON,Neutral,1.7333333333333334
62,OO,Negative,1.6578947368421053
62,OO,Neutral,1.7619047619047619
63,ON,Negative,1.647058823529412
63,ON,Neutral,1.7826086956521738
63,OO,Negative,1.3421052631578947
63,OO,Neutral,1.7380952380952381
64,ON,Negative,2.4285714285714284
64,ON,Neutral,2.3777777777777778
64,OO,Negative,1.5128205128205128
64,OO,Neutral,1.6829268292682928
65,ON,Negative,2.3823529411764706
65,ON,Neutral,2.152173913043478
65,OO,Negative,1.975
65,OO,Neutral,2.1
