L_Scene,R_Scene,L_Pts,R_Pts
8041.jpg,6250.2.jpg,2 Points,3 Points
4500.jpg,5532.jpg,3 Points,2 Points
9500.jpg,9120.jpg,1 Point,5 Points
9921.jpg,1270.jpg,1 Points,4 Points
5455.jpg,7570.jpg,0 Points,5 Points
1942.jpg,2515.jpg,1 Points,4 Points
5971.jpg,9050.jpg,5 Points,4 Points
7500.jpg,6313.jpg,2 Points,3 Points
9250.jpg,6840.jpg,0 Points,1 Points
9220.jpg,7560.jpg,1 Point,4 Points
2381.jpg,8250.jpg,1 Point,4 Points
1932.jpg,9415.jpg,1 Points,4 Points
6836.jpg,5940.jpg,4 Points,0 Points
9253.jpg,5450.jpg,0 Points,5 Points
1540.jpg,1560.jpg,1 Point,0 Points
7006.jpg,6821.jpg,3 Points,2 Points
5030.jpg,8160.jpg,3 Points,2 Points
5622.jpg,7495.jpg,4 Points,1 Points
6910.jpg,9160.jpg,0 Points,4 Points
7096.jpg,1111.jpg,5 Points,0 Points
9910.jpg,6241.jpg,2 Points,3 Points
6230.jpg,6415.jpg,3 Points,2 Points
7480.jpg,4533.jpg,0 Points,3 Points
7183.jpg,9800.jpg,4 Points,1 Point
9210.jpg,9254.jpg,1 Point,2 Points
4532.jpg,7150.jpg,3 Points,2 Points
3022.jpg,6530.jpg,0 Points,1 Point
3069.jpg,O022.jpg,3 Points,2 Points
8465.jpg,2590.jpg,1 Point,4 Points
8117.jpg,7281.jpg,5 Points,0 Points
4609.jpg,1900.jpg,2 Points,4 Points
7010.jpg,1120.jpg,2 Points,3 Points
5970.jpg,9000.jpg,0 Points,4 Points
9570.jpg,9911.jpg,0 Points,5 Points
6243.jpg,3266.jpg,2 Points,1 Point
7090.jpg,9360.jpg,4 Points,1 Point
8232.jpg,2030.jpg,5 Points,0 Points
9920.jpg,5950.jpg,5 Points,0 Points
9101.jpg,2800.jpg,2 Points,4 Points
5626.jpg,5533.jpg,2 Points,3 Points
6244.jpg,P211.jpg,0 Points,4 Points
6250.1.jpg,7705.jpg,0 Points,5 Points
4536.jpg,7170.jpg,4 Points,2 Points
7140.jpg,1590.jpg,0 Points,5 Points
2870.jpg,8503.jpg,5 Points,2 Points
6410.jpg,9830.jpg,1 Point,4 Points
F149.jpg,P237.jpg,0 Points,2 Points
9621.jpg,5972.jpg,0 Points,5 Points
P222.jpg,3051.jpg,2 Points,1 Point
1022.jpg,7031.jpg,1 Point,4 Points
5480.jpg,2722.jpg,4 Points,1 Points
7025.jpg,9584.jpg,3 Points,2 Points
1052.jpg,F365.jpg,3 Points,5 Points
3350.jpg,7130.jpg,1 Point,4 Points
2487.jpg,4598.jpg,2 Points,1 Point
7224.jpg,9102.jpg,2 Points,3 Points
3100.jpg,3062.jpg,2 Points,3 Points
8180.jpg,1603.jpg,4 Points,1 Points
5260.jpg,5760.jpg,5 Points,1 Point
5890.jpg,5780.jpg,2 Points,3 Points
P019.jpg,6550.jpg,3 Points,5 Points
9440.jpg,1274.jpg,4 Points,1 Points
F032.jpg,1080.jpg,1 Point,4 Points
7233.jpg,5623.jpg,0 Points,5 Points
7580.jpg,8340.jpg,3 Points,2 Points
5200.jpg,5820.jpg,0 Points,5 Points
7160.jpg,2560.jpg,0 Points,4 Points
5593.jpg,5600.jpg,0 Points,5 Points
6831.jpg,6211.jpg,5 Points,3 Points
6800.jpg,7110.jpg,0 Points,5 Points
1240.jpg,6300.jpg,3 Points,2 Points
5900.jpg,7503.jpg,3 Points,2 Points
8300.jpg,1910.jpg,3 Points,2 Points
2749.jpg,5849.jpg,3 Points,2 Points
2260.jpg,7100.jpg,5 Points,3 Points
5629.jpg,5870.jpg,0 Points,5 Points
3061.jpg,3015.jpg,4 Points,5 Points
2485.jpg,7286.jpg,0 Points,5 Points
4100.jpg,1510.jpg,3 Points,4 Points
7035.jpg,4660.jpg,1 Points,4 Points
8210.jpg,8330.jpg,3 Points,0 Points
4510.jpg,F252.jpg,5 Points,0 Points
1220.jpg,2692.jpg,1 Point,4 Points
5720.jpg,1616.jpg,3 Points,2 Points
3170.jpg,6570.1.jpg,2 Points,5 Points
1310.jpg,9913.jpg,4 Points,1 Points
5471.jpg,2240.jpg,2 Points,5 Points
2683.jpg,6010.jpg,3 Points,2 Points
2650.jpg,5534.jpg,5 Points,3 Points
8090.jpg,5831.jpg,2 Points,3 Points
9007.jpg,1101.jpg,0 Points,3 Points
7034.jpg,2810.jpg,2 Points,3 Points
3500.jpg,3230.jpg,4 Points,2 Points
6561.jpg,7211.jpg,2 Points,3 Points
8350.jpg,5300.jpg,5 Points,1 Point
2500.jpg,2630.jpg,5 Points,0 Points
9404.jpg,6212.jpg,5 Points,4 Points
5390.jpg,5700.jpg,0 Points,5 Points
2570.jpg,5120.jpg,3 Points,2 Points
7545.jpg,2389.jpg,5 Points,0 Points
2010.jpg,2092.jpg,5 Points,0 Points
9452.jpg,9700.jpg,4 Points,1 Points
1390.jpg,A025.jpg,2 Points,0 Points
7182.jpg,5395.jpg,4 Points,1 Point
4608.jpg,5510.jpg,1 Point,5 Points
2594.jpg,5470.jpg,0 Points,5 Points
6242.jpg,3530.jpg,4 Points,1 Point
5731.jpg,2606.jpg,4 Points,1 Point
1650.jpg,8510.jpg,1 Points,4 Points
4770.jpg,5920.jpg,3 Points,2 Points
2410.jpg,4689.jpg,4 Points,5 Points
7040.jpg,A041.jpg,4 Points,1 Point
A074.jpg,6190.jpg,2 Points,5 Points
3060.jpg,7217.jpg,1 Point,4 Points
3168.jpg,9070.jpg,4 Points,2 Points
7207.jpg,2791.jpg,1 Points,4 Points
5531.jpg,7283.jpg,3 Points,4 Points
1050.jpg,7030.jpg,4 Points,1 Points
2020.jpg,1811.jpg,5 Points,1 Point
7020.jpg,2206.jpg,5 Points,0 Points
9042.jpg,1090.jpg,0 Points,5 Points
6210.jpg,7080.jpg,1 Point,4 Points
2110.jpg,8260.jpg,5 Points,3 Points
5740.jpg,2100.jpg,0 Points,5 Points
