L_Scene,R_Scene,L_Pts,R_Pts
8041.jpg,9405.jpg,2 Points,3 Points
1019.jpg,7004.jpg,0 Points,5 Points
9500.jpg,9120.jpg,1 Point,5 Points
7095.jpg,8531.jpg,1 Points,4 Points
5455.jpg,7570.jpg,0 Points,5 Points
5594.jpg,5991.jpg,5 Points,0 Points
5971.jpg,2750.jpg,5 Points,4 Points
7550.jpg,3053.jpg,1 Points,4 Points
9480.jpg,6840.jpg,0 Points,1 Points
3250.jpg,2716.jpg,3 Points,2 Points
2381.jpg,8250.jpg,1 Point,4 Points
1230.jpg,9001.jpg,4 Points,1 Point
6836.jpg,5940.jpg,4 Points,0 Points
9182.jpg,7235.jpg,2 Points,3 Points
1540.jpg,8185.jpg,1 Point,0 Points
9424.jpg,9280.jpg,4 Points,1 Point
5030.jpg,8160.jpg,3 Points,2 Points
9181.jpg,7502.jpg,0 Points,5 Points
9340.jpg,1200.jpg,0 Points,4 Points
9810.jpg,9470.jpg,2 Points,3 Points
9910.jpg,9561.jpg,2 Points,3 Points
1321.jpg,7000.jpg,3 Points,2 Points
7480.jpg,2385.jpg,0 Points,3 Points
9630.jpg,9180.jpg,2 Points,3 Points
9210.jpg,9290.jpg,1 Point,2 Points
2691.jpg,9600.jpg,0 Points,5 Points
2352.2.jpg,9417.jpg,0 Points,1 Point
5875.jpg,4233.jpg,0 Points,5 Points
8400.jpg,2590.jpg,1 Point,4 Points
5460.jpg,5910.jpg,0 Points,5 Points
4609.jpg,1900.jpg,2 Points,4 Points
7050.jpg,2512.jpg,4 Points,1 Point
3300.jpg,9000.jpg,0 Points,4 Points
5660.jpg,5628.jpg,0 Points,5 Points
2752.jpg,3266.jpg,2 Points,1 Point
5530.jpg,5410.jpg,0 Points,5 Points
4279.jpg,2030.jpg,5 Points,0 Points
7205.jpg,5740.jpg,5 Points,0 Points
9571.jpg,2800.jpg,2 Points,4 Points
7080.jpg,3160.jpg,4 Points,1 Point
9265.jpg,P211.jpg,0 Points,4 Points
2206.jpg,7020.jpg,0 Points,5 Points
2280.jpg,2170.jpg,4 Points,2 Points
7030.jpg,9300.jpg,1 Points,4 Points
2870.jpg,8503.jpg,5 Points,2 Points
2791.jpg,7207.jpg,4 Points,1 Points
3030.jpg,P237.jpg,0 Points,2 Points
7217.jpg,P233.jpg,4 Points,1 Point
P222.jpg,3051.jpg,2 Points,1 Point
A041.jpg,7040.jpg,1 Point,4 Points
5480.jpg,2312.jpg,4 Points,1 Points
5920.jpg,4770.jpg,2 Points,3 Points
1201.jpg,3180.jpg,3 Points,5 Points
2606.jpg,5731.jpg,1 Point,4 Points
7195.jpg,2200.jpg,2 Points,1 Point
5470.jpg,2620.jpg,5 Points,0 Points
F369.jpg,3062.jpg,2 Points,3 Points
5395.jpg,7182.jpg,1 Point,4 Points
5260.jpg,1602.jpg,5 Points,1 Point
9700.jpg,9452.jpg,1 Points,4 Points
P019.jpg,9582.jpg,3 Points,5 Points
7320.jpg,7545.jpg,0 Points,5 Points
F032.jpg,9594.jpg,1 Point,4 Points
5700.jpg,5994.jpg,5 Points,0 Points
9090.jpg,7546.jpg,3 Points,2 Points
2630.jpg,2500.jpg,0 Points,5 Points
7160.jpg,5270.jpg,0 Points,4 Points
7211.jpg,1525.jpg,3 Points,2 Points
2141.jpg,6211.jpg,5 Points,3 Points
9140.jpg,7034.jpg,3 Points,2 Points
1240.jpg,6020.jpg,3 Points,2 Points
5831.jpg,7220.jpg,3 Points,2 Points
8300.jpg,1910.jpg,3 Points,2 Points
6010.jpg,2683.jpg,2 Points,3 Points
2830.jpg,7100.jpg,5 Points,3 Points
9913.jpg,1310.jpg,1 Points,4 Points
3061.jpg,3015.jpg,4 Points,5 Points
1616.jpg,5720.jpg,2 Points,3 Points
4100.jpg,4605.jpg,3 Points,4 Points
F252.jpg,2230.jpg,0 Points,5 Points
5535.jpg,8330.jpg,3 Points,0 Points
4660.jpg,7035.jpg,4 Points,1 Points
7380.jpg,2692.jpg,1 Point,4 Points
7286.jpg,2485.jpg,5 Points,0 Points
6560.jpg,9432.jpg,2 Points,5 Points
2597.jpg,5629.jpg,5 Points,0 Points
