L_Scene,R_Scene,L_Pts,R_Pts
2271.jpg,6250.2.jpg,2 Points,3 Points
2214.jpg,5532.jpg,3 Points,2 Points
9500.jpg,6834.jpg,1 Point,5 Points
9921.jpg,1270.jpg,1 Points,4 Points
5455.jpg,7570.jpg,0 Points,5 Points
1942.jpg,2515.jpg,1 Points,4 Points
9912.jpg,9050.jpg,5 Points,4 Points
7500.jpg,6313.jpg,2 Points,3 Points
9250.jpg,3080.jpg,0 Points,1 Points
9530.jpg,7560.jpg,1 Point,4 Points
2518.jpg,1313.jpg,1 Point,4 Points
1932.jpg,2053.jpg,1 Points,4 Points
6000.jpg,5940.jpg,4 Points,0 Points
9010.jpg,5450.jpg,0 Points,5 Points
1540.jpg,1560.jpg,1 Point,0 Points
7006.jpg,9622.jpg,3 Points,2 Points
1670.jpg,8160.jpg,3 Points,2 Points
9156.jpg,7495.jpg,4 Points,1 Points
9340.jpg,9160.jpg,0 Points,4 Points
7096.jpg,1111.jpg,5 Points,0 Points
9910.jpg,9561.jpg,2 Points,3 Points
6230.jpg,6415.jpg,3 Points,2 Points
1740.jpg,2385.jpg,0 Points,3 Points
7183.jpg,9433.jpg,4 Points,1 Point
9490.jpg,9254.jpg,1 Point,2 Points
2850.jpg,7150.jpg,3 Points,2 Points
2352.2.jpg,6530.jpg,0 Points,1 Point
3069.jpg,O022.jpg,3 Points,2 Points
8400.jpg,2490.jpg,1 Point,4 Points
2880.jpg,7281.jpg,5 Points,0 Points
8311.jpg,8161.jpg,2 Points,4 Points
7010.jpg,9040.jpg,2 Points,3 Points
5970.jpg,3110.jpg,0 Points,4 Points
9570.jpg,9911.jpg,0 Points,5 Points
6243.jpg,3266.jpg,2 Points,1 Point
7090.jpg,2690.jpg,4 Points,1 Point
8232.jpg,2495.jpg,5 Points,0 Points
9920.jpg,5950.jpg,5 Points,0 Points
9571.jpg,1945.jpg,2 Points,4 Points
5626.jpg,7234.jpg,2 Points,3 Points
6244.jpg,9041.jpg,0 Points,4 Points
3301.jpg,7705.jpg,0 Points,5 Points
2280.jpg,7170.jpg,4 Points,2 Points
7140.jpg,1590.jpg,0 Points,5 Points
2870.jpg,2520.jpg,5 Points,2 Points
6410.jpg,9830.jpg,1 Point,4 Points
F149.jpg,P237.jpg,0 Points,2 Points
9621.jpg,5972.jpg,0 Points,5 Points
9401.jpg,9110.jpg,2 Points,1 Point
1022.jpg,7031.jpg,1 Point,4 Points
5480.jpg,2722.jpg,4 Points,1 Points
7025.jpg,3400.jpg,3 Points,2 Points
1201.jpg,F365.jpg,3 Points,5 Points
3210.jpg,7130.jpg,1 Point,4 Points
7195.jpg,4598.jpg,2 Points,1 Point
7224.jpg,7920.jpg,2 Points,3 Points
F369.jpg,3062.jpg,2 Points,3 Points
8180.jpg,1603.jpg,4 Points,1 Points
5260.jpg,1602.jpg,5 Points,1 Point
5890.jpg,5990.jpg,2 Points,3 Points
F158.jpg,9582.jpg,3 Points,5 Points
6350.jpg,1274.jpg,4 Points,1 Points
3102.jpg,9594.jpg,1 Point,4 Points
7233.jpg,1850.jpg,0 Points,5 Points
9090.jpg,7546.jpg,3 Points,2 Points
5200.jpg,5820.jpg,0 Points,5 Points
7160.jpg,5270.jpg,0 Points,4 Points
5593.jpg,9080.jpg,0 Points,5 Points
6831.jpg,9611.jpg,5 Points,3 Points
6800.jpg,7110.jpg,0 Points,5 Points
1113.jpg,6020.jpg,3 Points,2 Points
5900.jpg,7503.jpg,3 Points,2 Points
2580.jpg,2575.jpg,3 Points,2 Points
2749.jpg,5849.jpg,3 Points,2 Points
2260.jpg,2681.jpg,5 Points,3 Points
5629.jpg,2597.jpg,0 Points,5 Points
2717.jpg,3015.jpg,4 Points,5 Points
2485.jpg,7286.jpg,0 Points,5 Points
6570.2.jpg,1510.jpg,3 Points,4 Points
7035.jpg,7002.jpg,1 Points,4 Points
8210.jpg,8460.jpg,3 Points,0 Points
2230.jpg,F252.jpg,5 Points,0 Points
7380.jpg,2692.jpg,1 Point,4 Points
5720.jpg,2383.jpg,3 Points,2 Points
6560.jpg,9432.jpg,2 Points,5 Points
1310.jpg,9913.jpg,4 Points,1 Points
5471.jpg,2240.jpg,2 Points,5 Points
2683.jpg,7361.jpg,3 Points,2 Points
4531.jpg,5621.jpg,5 Points,3 Points
8090.jpg,5831.jpg,2 Points,3 Points
9320.jpg,2900.jpg,0 Points,3 Points
7034.jpg,2810.jpg,2 Points,3 Points
3500.jpg,3230.jpg,4 Points,2 Points
6561.jpg,7211.jpg,2 Points,3 Points
8350.jpg,2372.jpg,5 Points,1 Point
2500.jpg,8010.jpg,5 Points,0 Points
F174.jpg,6212.jpg,5 Points,4 Points
5994.jpg,5700.jpg,0 Points,5 Points
5500.jpg,5120.jpg,3 Points,2 Points
7545.jpg,7320.jpg,5 Points,0 Points
2220.jpg,2210.jpg,5 Points,0 Points
7184.jpg,9700.jpg,4 Points,1 Points
9421.jpg,1051.jpg,2 Points,0 Points
7182.jpg,5395.jpg,4 Points,1 Point
8320.jpg,5510.jpg,1 Point,5 Points
2594.jpg,5470.jpg,0 Points,5 Points
F034.jpg,3530.jpg,4 Points,1 Point
5731.jpg,2480.jpg,4 Points,1 Point
1650.jpg,7237.jpg,1 Points,4 Points
4770.jpg,5920.jpg,3 Points,2 Points
2410.jpg,7009.jpg,4 Points,5 Points
7040.jpg,A041.jpg,4 Points,1 Point
6510.jpg,3120.jpg,2 Points,5 Points
3060.jpg,7217.jpg,1 Point,4 Points
3168.jpg,9070.jpg,4 Points,2 Points
7207.jpg,2320.jpg,1 Points,4 Points
5531.jpg,7283.jpg,3 Points,4 Points
1050.jpg,7030.jpg,4 Points,1 Points
2020.jpg,4535.jpg,5 Points,1 Point
7020.jpg,6150.jpg,5 Points,0 Points
9042.jpg,1090.jpg,0 Points,5 Points
6210.jpg,7080.jpg,1 Point,4 Points
2110.jpg,8280.jpg,5 Points,3 Points
5740.jpg,2100.jpg,0 Points,5 Points
1660.jpg,7185.jpg,2 Points,1 Point
5410.jpg,5530.jpg,5 Points,0 Points
2276.jpg,9008.jpg,3 Points,1 Point
5628.jpg,5660.jpg,5 Points,0 Points
7060.jpg,7830.jpg,5 Points,3 Points
2512.jpg,7050.jpg,1 Point,4 Points
3550.jpg,9270.jpg,2 Points,0 Points
5910.jpg,5800.jpg,5 Points,0 Points
1300.jpg,6200.jpg,2 Points,5 Points
7285.jpg,5875.jpg,5 Points,0 Points
2270.jpg,1303.jpg,2 Points,0 Points
9600.jpg,7640.jpg,5 Points,0 Points
5130.jpg,7238.jpg,3 Points,4 Points
9180.jpg,9630.jpg,3 Points,2 Points
9560.jpg,2700.jpg,1 Point,3 Points
7000.jpg,1661.jpg,2 Points,3 Points
9331.jpg,3150.jpg,2 Points,1 Point
9400.jpg,9810.jpg,3 Points,2 Points
7270.jpg,7289.jpg,3 Points,0 Points
7502.jpg,9230.jpg,5 Points,0 Points
7490.jpg,7284.jpg,2 Points,4 Points
9390.jpg,9424.jpg,1 Point,4 Points
8230.jpg,2710.jpg,5 Points,1 Point
7235.jpg,9182.jpg,3 Points,2 Points
2440.jpg,7950.jpg,4 Points,1 Point
9001.jpg,1230.jpg,1 Point,4 Points
9410.jpg,9402.jpg,0 Points,2 Points
2716.jpg,3250.jpg,2 Points,3 Points
1301.jpg,3063.jpg,2 Points,5 Points
2205.jpg,7550.jpg,4 Points,1 Points
2720.jpg,1610.jpg,4 Points,0 Points
5991.jpg,5594.jpg,0 Points,5 Points
9430.jpg,9520.jpg,5 Points,3 Points
8531.jpg,7095.jpg,4 Points,1 Points
2516.jpg,7820.jpg,4 Points,0 Points
7004.jpg,1019.jpg,5 Points,0 Points
