L_Scene,R_Scene,L_Pts,R_Pts
2271.jpg,9405.jpg,2 Points,3 Points
2214.jpg,5532.jpg,3 Points,2 Points
6360.jpg,6834.jpg,1 Point,5 Points
9921.jpg,6370.jpg,1 Points,4 Points
5455.jpg,7230.jpg,0 Points,5 Points
1942.jpg,2515.jpg,1 Points,4 Points
9912.jpg,2750.jpg,5 Points,4 Points
7500.jpg,6313.jpg,2 Points,3 Points
9250.jpg,3080.jpg,0 Points,1 Points
9530.jpg,7560.jpg,1 Point,4 Points
2518.jpg,1313.jpg,1 Point,4 Points
1932.jpg,2053.jpg,1 Points,4 Points
6836.jpg,5940.jpg,4 Points,0 Points
9253.jpg,5450.jpg,0 Points,5 Points
2600.jpg,8185.jpg,1 Point,0 Points
7006.jpg,6821.jpg,3 Points,2 Points
5030.jpg,4274.jpg,3 Points,2 Points
9156.jpg,7495.jpg,4 Points,1 Points
9340.jpg,1200.jpg,0 Points,4 Points
7096.jpg,1040.jpg,5 Points,0 Points
9910.jpg,9561.jpg,2 Points,3 Points
6230.jpg,6415.jpg,3 Points,2 Points
7480.jpg,4533.jpg,0 Points,3 Points
7183.jpg,9433.jpg,4 Points,1 Point
9210.jpg,9254.jpg,1 Point,2 Points
2850.jpg,7150.jpg,3 Points,2 Points
2352.2.jpg,6530.jpg,0 Points,1 Point
3069.jpg,6314.jpg,3 Points,2 Points
8465.jpg,2590.jpg,1 Point,4 Points
8117.jpg,7281.jpg,5 Points,0 Points
4609.jpg,8161.jpg,2 Points,4 Points
7010.jpg,9040.jpg,2 Points,3 Points
3300.jpg,3110.jpg,0 Points,4 Points
9570.jpg,9911.jpg,0 Points,5 Points
2752.jpg,3266.jpg,2 Points,1 Point
7090.jpg,2690.jpg,4 Points,1 Point
8232.jpg,2030.jpg,5 Points,0 Points
3068.jpg,5950.jpg,5 Points,0 Points
9571.jpg,1945.jpg,2 Points,4 Points
5626.jpg,7234.jpg,2 Points,3 Points
6244.jpg,P211.jpg,0 Points,4 Points
3301.jpg,7705.jpg,0 Points,5 Points
4536.jpg,2170.jpg,4 Points,2 Points
7140.jpg,2702.jpg,0 Points,5 Points
2661.jpg,8503.jpg,5 Points,2 Points
6410.jpg,9830.jpg,1 Point,4 Points
F149.jpg,P237.jpg,0 Points,2 Points
9621.jpg,6838.jpg,0 Points,5 Points
P222.jpg,3051.jpg,2 Points,1 Point
1022.jpg,7031.jpg,1 Point,4 Points
5480.jpg,2312.jpg,4 Points,1 Points
7025.jpg,3400.jpg,3 Points,2 Points
1201.jpg,F365.jpg,3 Points,5 Points
3350.jpg,7130.jpg,1 Point,4 Points
7195.jpg,4598.jpg,2 Points,1 Point
7224.jpg,9102.jpg,2 Points,3 Points
3100.jpg,3062.jpg,2 Points,3 Points
8180.jpg,1603.jpg,4 Points,1 Points
5260.jpg,5760.jpg,5 Points,1 Point
5890.jpg,5990.jpg,2 Points,3 Points
P019.jpg,6550.jpg,3 Points,5 Points
9440.jpg,1274.jpg,4 Points,1 Points
3102.jpg,9594.jpg,1 Point,4 Points
7233.jpg,1850.jpg,0 Points,5 Points
9090.jpg,7546.jpg,3 Points,2 Points
5200.jpg,5820.jpg,0 Points,5 Points
7280.jpg,2560.jpg,0 Points,4 Points
5593.jpg,9080.jpg,0 Points,5 Points
2141.jpg,6211.jpg,5 Points,3 Points
9190.jpg,7110.jpg,0 Points,5 Points
1113.jpg,6020.jpg,3 Points,2 Points
5900.jpg,7503.jpg,3 Points,2 Points
2580.jpg,2575.jpg,3 Points,2 Points
7282.jpg,5849.jpg,3 Points,2 Points
2830.jpg,2681.jpg,5 Points,3 Points
5629.jpg,2597.jpg,0 Points,5 Points
3061.jpg,3015.jpg,4 Points,5 Points
2485.jpg,7286.jpg,0 Points,5 Points
6570.2.jpg,4605.jpg,3 Points,4 Points
7035.jpg,4660.jpg,1 Points,4 Points
5535.jpg,8330.jpg,3 Points,0 Points
4510.jpg,F252.jpg,5 Points,0 Points
