L_Scene,R_Scene,L_Pts,R_Pts
2271.jpg,9405.jpg,2 Points,3 Points
4500.jpg,5532.jpg,3 Points,2 Points
6360.jpg,6834.jpg,1 Point,5 Points
9921.jpg,1270.jpg,1 Points,4 Points
5220.jpg,7230.jpg,0 Points,5 Points
2890.jpg,2515.jpg,1 Points,4 Points
9912.jpg,9050.jpg,5 Points,4 Points
7500.jpg,6313.jpg,2 Points,3 Points
9480.jpg,3080.jpg,0 Points,1 Points
9220.jpg,7560.jpg,1 Point,4 Points
2518.jpg,1313.jpg,1 Point,4 Points
1932.jpg,2053.jpg,1 Points,4 Points
6836.jpg,5940.jpg,4 Points,0 Points
9253.jpg,5450.jpg,0 Points,5 Points
1540.jpg,8185.jpg,1 Point,0 Points
7006.jpg,6821.jpg,3 Points,2 Points
1670.jpg,8160.jpg,3 Points,2 Points
5622.jpg,7495.jpg,4 Points,1 Points
9340.jpg,1200.jpg,0 Points,4 Points
7096.jpg,1111.jpg,5 Points,0 Points
6940.jpg,9561.jpg,2 Points,3 Points
1112.jpg,6415.jpg,3 Points,2 Points
1740.jpg,4533.jpg,0 Points,3 Points
7183.jpg,9800.jpg,4 Points,1 Point
9490.jpg,9290.jpg,1 Point,2 Points
2850.jpg,7150.jpg,3 Points,2 Points
3022.jpg,9417.jpg,0 Points,1 Point
3069.jpg,O022.jpg,3 Points,2 Points
8400.jpg,2490.jpg,1 Point,4 Points
2880.jpg,7281.jpg,5 Points,0 Points
8311.jpg,8161.jpg,2 Points,4 Points
7010.jpg,1120.jpg,2 Points,3 Points
5970.jpg,9000.jpg,0 Points,4 Points
6610.jpg,9911.jpg,0 Points,5 Points
6243.jpg,3266.jpg,2 Points,1 Point
7090.jpg,9360.jpg,4 Points,1 Point
8232.jpg,2030.jpg,5 Points,0 Points
3068.jpg,5950.jpg,5 Points,0 Points
9571.jpg,2800.jpg,2 Points,4 Points
5626.jpg,5533.jpg,2 Points,3 Points
9265.jpg,P211.jpg,0 Points,4 Points
6250.1.jpg,7705.jpg,0 Points,5 Points
4536.jpg,2170.jpg,4 Points,2 Points
7140.jpg,1590.jpg,0 Points,5 Points
2661.jpg,8503.jpg,5 Points,2 Points
8480.jpg,9830.jpg,1 Point,4 Points
3030.jpg,P237.jpg,0 Points,2 Points
9621.jpg,6838.jpg,0 Points,5 Points
P222.jpg,3051.jpg,2 Points,1 Point
1022.jpg,7031.jpg,1 Point,4 Points
8200.jpg,2312.jpg,4 Points,1 Points
7025.jpg,9584.jpg,3 Points,2 Points
1052.jpg,3180.jpg,3 Points,5 Points
3350.jpg,7130.jpg,1 Point,4 Points
2487.jpg,4598.jpg,2 Points,1 Point
7224.jpg,9102.jpg,2 Points,3 Points
3100.jpg,3062.jpg,2 Points,3 Points
5000.jpg,1603.jpg,4 Points,1 Points
5260.jpg,1602.jpg,5 Points,1 Point
5890.jpg,5990.jpg,2 Points,3 Points
P019.jpg,6550.jpg,3 Points,5 Points
6350.jpg,1274.jpg,4 Points,1 Points
F032.jpg,9594.jpg,1 Point,4 Points
7233.jpg,1850.jpg,0 Points,5 Points
7580.jpg,8340.jpg,3 Points,2 Points
5020.jpg,5820.jpg,0 Points,5 Points
7160.jpg,2560.jpg,0 Points,4 Points
5593.jpg,5600.jpg,0 Points,5 Points
2141.jpg,6211.jpg,5 Points,3 Points
9190.jpg,7110.jpg,0 Points,5 Points
1113.jpg,6020.jpg,3 Points,2 Points
5900.jpg,7503.jpg,3 Points,2 Points
8300.jpg,1910.jpg,3 Points,2 Points
2749.jpg,5849.jpg,3 Points,2 Points
2830.jpg,7100.jpg,5 Points,3 Points
5629.jpg,2597.jpg,0 Points,5 Points
2717.jpg,3015.jpg,4 Points,5 Points
7350.jpg,7286.jpg,0 Points,5 Points
4100.jpg,1510.jpg,3 Points,4 Points
7035.jpg,7002.jpg,1 Points,4 Points
5535.jpg,8460.jpg,3 Points,0 Points
4510.jpg,F252.jpg,5 Points,0 Points
7380.jpg,8231.jpg,1 Point,4 Points
5720.jpg,1616.jpg,3 Points,2 Points
6560.jpg,9432.jpg,2 Points,5 Points
1310.jpg,9913.jpg,4 Points,1 Points
7352.jpg,5010.jpg,2 Points,5 Points
2683.jpg,6010.jpg,3 Points,2 Points
4531.jpg,5534.jpg,5 Points,3 Points
8090.jpg,5831.jpg,2 Points,3 Points
9320.jpg,1101.jpg,0 Points,3 Points
7034.jpg,9140.jpg,2 Points,3 Points
3130.jpg,3230.jpg,4 Points,2 Points
1525.jpg,7211.jpg,2 Points,3 Points
8350.jpg,2372.jpg,5 Points,1 Point
2500.jpg,2630.jpg,5 Points,0 Points
9404.jpg,6830.jpg,5 Points,4 Points
5994.jpg,5700.jpg,0 Points,5 Points
5500.jpg,5520.jpg,3 Points,2 Points
7545.jpg,2389.jpg,5 Points,0 Points
2220.jpg,2092.jpg,5 Points,0 Points
