L_Scene,R_Scene,Points_L,Points_R,PtTotal,blockFile,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Encoding_Loop.thisRepN,Practice_Encoding_Loop.thisTrialN,Practice_Encoding_Loop.thisN,Practice_Encoding_Loop.thisIndex,Practice_Response_Fail_Loop.thisRepN,Practice_Response_Fail_Loop.thisTrialN,Practice_Response_Fail_Loop.thisN,Practice_Response_Fail_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,Practice_Attention_Loop.thisRepN,Practice_Attention_Loop.thisTrialN,Practice_Attention_Loop.thisN,Practice_Attention_Loop.thisIndex,Practice_EncBrk_Loop.thisRepN,Practice_EncBrk_Loop.thisTrialN,Practice_EncBrk_Loop.thisN,Practice_EncBrk_Loop.thisIndex,Encoding_Loop.thisRepN,Encoding_Loop.thisTrialN,Encoding_Loop.thisN,Encoding_Loop.thisIndex,EncStim_Loop.thisRepN,EncStim_Loop.thisTrialN,EncStim_Loop.thisN,EncStim_Loop.thisIndex,Response_Fail_Loop.thisRepN,Response_Fail_Loop.thisTrialN,Response_Fail_Loop.thisN,Response_Fail_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,Attention_Loop.thisRepN,Attention_Loop.thisTrialN,Attention_Loop.thisN,Attention_Loop.thisIndex,EncBrk_Loop.thisRepN,EncBrk_Loop.thisTrialN,EncBrk_Loop.thisN,EncBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.started,Encoding_Resp.keys,Encoding_Resp.rt,R_Point_FB_Stim.started,Attn_resp.keys,Attn_resp.rt,Progress_Tracker.started,EncBrk_Resp.keys,EncBrk_Resp.rt,participant,Group,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,3.4872224170248955,,,,,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
A060.jpg,F041.jpg,5 Points,5 Points,5 Points,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,166.26197091606446,p,1.4348980418872088,167.8349917079322,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
O161.jpg,1812.jpg,2 Points,2 Points,7 Points,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,172.01175345806405,p,1.0215393749531358,173.1677310001105,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
O013.jpg,A001.jpg,3 Points,3 Points,10 Points,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.34254716616124,q,1.306496208999306,178.7970457500778,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
P036.jpg,F273.jpg,5 Points,5 Points,15 Points,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,182.95868100016378,q,1.2817689999938011,184.4067124160938,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
L130.jpg,2393.jpg,0 Points,0 Points,15 Points,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,188.5548112911638,p,1.205548166995868,189.89542866614647,0,3.590479000005871,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
F279.jpg,P033.jpg,3 Points,3 Points,18 Points,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,197.77898933296092,q,1.3583402920048684,199.27633000002243,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
A104.jpg,2593.jpg,2 Points,2 Points,20 Points,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,203.4436848750338,q,1.012771459063515,204.58860975014977,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
2598.jpg,2605.jpg,0 Points,0 Points,20 Points,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,208.75808625016361,p,1.6014615420717746,210.46356458310038,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
L005.jpg,O011.jpg,1 Points,1 Points,21 Points,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214.67877433309332,q,1.9861893330235034,216.8016150831245,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
8186.jpg,F078.jpg,2 Points,2 Points,23 Points,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220.97872691601515,q,0.7413293339777738,221.85919716604985,2,1.3584456669632345,233.48022983316332,space,5.120701624779031,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,1.9816387090831995,,,,,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
1019.jpg,2120.jpg,0 Points,0 Points,0 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,291.1408441250678,q,0.8345400840044022,292.07999450014904,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
6900.jpg,8531.jpg,4 Points,4 Points,4 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,296.28317445795983,q,0.6111180419102311,296.9588905000128,4,1.5683955000713468,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
5594.jpg,5750.jpg,5 Points,5 Points,9 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,302.8358088331297,p,1.0587611261289567,303.97294170805253,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
2205.jpg,3053.jpg,4 Points,4 Points,13 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,308.20526745799,p,0.649443041998893,308.93955466593616,,,,,,15,A,2024-08-22_09h16.25.181,EPIDM,2023.1.2,60.121852006007394,
