L_Scene,R_Scene,Points_L,Points_R,PtTotal,blockFile,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Encoding_Loop.thisRepN,Practice_Encoding_Loop.thisTrialN,Practice_Encoding_Loop.thisN,Practice_Encoding_Loop.thisIndex,Practice_Response_Fail_Loop.thisRepN,Practice_Response_Fail_Loop.thisTrialN,Practice_Response_Fail_Loop.thisN,Practice_Response_Fail_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,Practice_Attention_Loop.thisRepN,Practice_Attention_Loop.thisTrialN,Practice_Attention_Loop.thisN,Practice_Attention_Loop.thisIndex,Practice_EncBrk_Loop.thisRepN,Practice_EncBrk_Loop.thisTrialN,Practice_EncBrk_Loop.thisN,Practice_EncBrk_Loop.thisIndex,Encoding_Loop.thisRepN,Encoding_Loop.thisTrialN,Encoding_Loop.thisN,Encoding_Loop.thisIndex,EncStim_Loop.thisRepN,EncStim_Loop.thisTrialN,EncStim_Loop.thisN,EncStim_Loop.thisIndex,Response_Fail_Loop.thisRepN,Response_Fail_Loop.thisTrialN,Response_Fail_Loop.thisN,Response_Fail_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,Attention_Loop.thisRepN,Attention_Loop.thisTrialN,Attention_Loop.thisN,Attention_Loop.thisIndex,EncBrk_Loop.thisRepN,EncBrk_Loop.thisTrialN,EncBrk_Loop.thisN,EncBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.started,Encoding_Resp.keys,Encoding_Resp.rt,R_Point_FB_Stim.started,Encoding_Resp.stopped,Attn_resp.keys,Attn_resp.rt,Progress_Tracker.started,EncBrk_Resp.keys,EncBrk_Resp.rt,participant,Group,date,expName,psychopyVersion,frameRate,
6900.jpg,8531.jpg,4 Points,4 Points,4 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,1,1,1,,,,,,,,,,,,,,,,,,,777.037260750003,p,2.3424407499987865,779.4554069170044,,4,1.8409549169955426,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
5594.jpg,5750.jpg,5 Points,5 Points,9 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,2,2,2,,,,,,,,,,,,,,,,,,,785.6060252919997,q,1.9807835829997202,787.6678680420009,,,,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
2205.jpg,3053.jpg,4 Points,4 Points,13 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,3,3,3,,,,,,,,,,,,,,,,,,,791.9052056670043,q,3.1402028749944293,795.1124202499996,,,,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
3250.jpg,A053.jpg,3 Points,3 Points,16 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,4,4,4,,,,,,,,,,,,,,,,,,,799.3604726670019,p,2.6268832499918062,802.0937444169977,,,,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
7950.jpg,7187.jpg,1 Point,1 Point,17 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,5,5,5,,,,,,,,,,,,,,,,,,,806.3033882079981,q,2.981060666999838,809.3902023749979,,,,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
5535.jpg,8210.jpg,3 Points,3 Points,20 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,6,6,6,,,,,,,,,,,,,,,,,,,813.5960469580023,p,2.487679958998342,816.1480512920025,,,,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
9001.jpg,9620.jpg,1 Point,1 Point,21 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,7,7,7,,,,,,,,,,,,,,,,,,,820.395903208002,q,2.415280625995365,822.9067421250002,,,,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
1110.jpg,9331.jpg,2 Points,2 Points,23 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,8,8,8,,,,,,,,,,,,,,,,,,,827.1404267920007,p,2.7752878750034142,829.9971661669988,,,,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
7820.jpg,1121.jpg,0 Points,0 Points,23 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,9,9,9,,,,,,,,,,,,,,,,,,,834.2327652079985,p,1.4021743339908426,835.7064761670044,,,,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
7186.jpg,9182.jpg,2 Points,2 Points,25 Points,PS1_L1.csv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,10,10,10,,,,,,,,,,,,,,,,,,,839.9361436670006,q,2.7153082500008168,842.7245278749979,,,,,,,271120,A,2024-11-09_11h07.19.606,EPIDM,2023.1.2,None,
