L_Scene,R_Scene,L_Pts,R_Pts,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Recognition_Loop.thisRepN,Practice_Recognition_Loop.thisTrialN,Practice_Recognition_Loop.thisN,Practice_Recognition_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,RecStim_Loop.thisRepN,RecStim_Loop.thisTrialN,RecStim_Loop.thisN,RecStim_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,RecBrk_Loop.thisRepN,RecBrk_Loop.thisTrialN,RecBrk_Loop.thisN,RecBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.keys,Encoding_Resp.rt,EncBrk_Resp.keys,EncBrk_Resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.80388099999982,,,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
F078.jpg,L130.jpg,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,s,7.820912917000896,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
P036.jpg,P217.jpg,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,k,5.369086791999507,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
O161.jpg,F218.jpg,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,j,4.879569458998958,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
F279.jpg,A001.jpg,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,d,3.147760500000004,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
F273.jpg,A060.jpg,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,l,4.0726028330009285,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
2393.jpg,L055.jpg,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,d,3.603050584000812,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
1812.jpg,2593.jpg,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,d,3.7243237080019753,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
O013.jpg,A067.jpg,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,s,3.5188084170004004,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
P033.jpg,P034.jpg,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,j,3.582732250000845,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
A104.jpg,8186.jpg,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,l,3.166578959000617,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,5.940012167000532,,,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
2271.jpg,6250.2.jpg,2 Points,3 Points,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,d,4.8899168750012905,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
2214.jpg,5532.jpg,3 Points,2 Points,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,d,8.601030416999492,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
9500.jpg,6834.jpg,1 Point,5 Points,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,l,5.030606000002081,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
9921.jpg,1270.jpg,1 Points,4 Points,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,d,5.311722334001388,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
5220.jpg,7570.jpg,0 Points,5 Points,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,l,2.4377281670003867,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
1942.jpg,2515.jpg,1 Points,4 Points,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,j,2.893661042000531,space,9.519653792001918,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
5971.jpg,9050.jpg,5 Points,4 Points,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,s,7.0470916670019506,,,60,2025-02-09_14h27.40.950,EPIDM,2023.1.2,None,
