L_Scene,R_Scene,L_Pts,R_Pts,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Recognition_Loop.thisRepN,Practice_Recognition_Loop.thisTrialN,Practice_Recognition_Loop.thisN,Practice_Recognition_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,RecStim_Loop.thisRepN,RecStim_Loop.thisTrialN,RecStim_Loop.thisN,RecStim_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,RecBrk_Loop.thisRepN,RecBrk_Loop.thisTrialN,RecBrk_Loop.thisN,RecBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.keys,Encoding_Resp.rt,EncBrk_Resp.keys,EncBrk_Resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,14.039651167113334,,,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
F078.jpg,L130.jpg,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,l,2.397198709193617,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
P036.jpg,P217.jpg,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,a,6.043574251234531,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
O161.jpg,F218.jpg,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,a,2.7541893750894815,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
F279.jpg,A001.jpg,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,k,1.6846756250597537,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
F273.jpg,A060.jpg,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,a,3.049831084208563,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
2393.jpg,L055.jpg,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,s,3.054428708041087,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
1812.jpg,2593.jpg,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,k,6.669193834066391,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
O013.jpg,A067.jpg,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,a,4.470851083286107,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
P033.jpg,P034.jpg,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,d,6.137833167100325,,,12,2024-08-02_11h41.27.688,EPIDM,2023.1.2,59.75943844801027,
