L_Scene,R_Scene,L_Pts,R_Pts,Instructions_Loop.thisRepN,Instructions_Loop.thisTrialN,Instructions_Loop.thisN,Instructions_Loop.thisIndex,Redo_Instructions_Loop.thisRepN,Redo_Instructions_Loop.thisTrialN,Redo_Instructions_Loop.thisN,Redo_Instructions_Loop.thisIndex,Practice_Recognition_Loop.thisRepN,Practice_Recognition_Loop.thisTrialN,Practice_Recognition_Loop.thisN,Practice_Recognition_Loop.thisIndex,Practice_FB_Loop.thisRepN,Practice_FB_Loop.thisTrialN,Practice_FB_Loop.thisN,Practice_FB_Loop.thisIndex,RecStim_Loop.thisRepN,RecStim_Loop.thisTrialN,RecStim_Loop.thisN,RecStim_Loop.thisIndex,FB_Loop.thisRepN,FB_Loop.thisTrialN,FB_Loop.thisN,FB_Loop.thisIndex,RecBrk_Loop.thisRepN,RecBrk_Loop.thisTrialN,RecBrk_Loop.thisN,RecBrk_Loop.thisIndex,Transition_Enc.keys,Transition_Enc.rt,Encoding_Resp.keys,Encoding_Resp.rt,EncBrk_Resp.keys,EncBrk_Resp.rt,participant,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,9.661205042008078,,,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
F078.jpg,L130.jpg,,,,,,,,,,,0,0,0,0,,,,,,,,,,,,,,,,,,,k,4.83994008298032,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
P036.jpg,P217.jpg,,,,,,,,,,,0,1,1,1,,,,,,,,,,,,,,,,,,,j,4.632768249983201,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
O161.jpg,F218.jpg,,,,,,,,,,,0,2,2,2,,,,,,,,,,,,,,,,,,,s,3.7540929579990916,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
F279.jpg,A001.jpg,,,,,,,,,,,0,3,3,3,,,,,,,,,,,,,,,,,,,d,3.7600286249944475,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
F273.jpg,A060.jpg,,,,,,,,,,,0,4,4,4,,,,,,,,,,,,,,,,,,,j,3.7888150419748854,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
2393.jpg,L055.jpg,,,,,,,,,,,0,5,5,5,,,,,,,,,,,,,,,,,,,k,5.2100162919959985,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
1812.jpg,2593.jpg,,,,,,,,,,,0,6,6,6,,,,,,,,,,,,,,,,,,,j,3.801639791985508,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
O013.jpg,A067.jpg,,,,,,,,,,,0,7,7,7,,,,,,,,,,,,,,,,,,,d,3.1155790000048,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
P033.jpg,P034.jpg,,,,,,,,,,,0,8,8,8,,,,,,,,,,,,,,,,,,,d,3.41159833301208,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
A104.jpg,8186.jpg,,,,,,,,,,,0,9,9,9,,,,,,,,,,,,,,,,,,,j,3.1870593339845072,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,space,12.740230459021404,,,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
8041.jpg,6250.2.jpg,2 Points,3 Points,,,,,,,,,,,,,,,,,0,0,0,0,,,,,,,,,,,k,3.572796832973836,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
1019.jpg,7004.jpg,0 Points,5 Points,,,,,,,,,,,,,,,,,0,1,1,1,,,,,,,,,,,j,3.1390149999933783,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
6360.jpg,9120.jpg,1 Point,5 Points,,,,,,,,,,,,,,,,,0,2,2,2,,,,,,,,,,,d,3.642355999996653,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
7095.jpg,8531.jpg,1 Points,4 Points,,,,,,,,,,,,,,,,,0,3,3,3,,,,,,,,,,,s,2.8370748750166968,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
5220.jpg,7230.jpg,0 Points,5 Points,,,,,,,,,,,,,,,,,0,4,4,4,,,,,,,,,,,s,6.2414903760072775,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
5750.jpg,5991.jpg,5 Points,0 Points,,,,,,,,,,,,,,,,,0,5,5,5,,,,,,,,,,,a,4.293273874995066,space,1.1233912919997238,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
5971.jpg,9050.jpg,5 Points,4 Points,,,,,,,,,,,,,,,,,0,6,6,6,,,,,,,,,,,j,3.9177451670111623,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
7550.jpg,2205.jpg,1 Points,4 Points,,,,,,,,,,,,,,,,,0,7,7,7,,,,,,,,,,,l,3.4039890420099255,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
9480.jpg,6840.jpg,0 Points,1 Points,,,,,,,,,,,,,,,,,0,8,8,8,,,,,,,,,,,k,2.958499667001888,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
A053.jpg,2716.jpg,3 Points,2 Points,,,,,,,,,,,,,,,,,0,9,9,9,,,,,,,,,,,d,2.7633738339936826,,,43,2024-12-13_09h50.54.958,EPIDM,2023.1.2,None,
